522,"ASSIST - OTHER AGENCY OR CALLER , CITIZEN",Emergency
369,"# EMS - 1ST RESP CALL (FIRE RESP ONLY) , UNCONSCIOUSNESS/FAINTING",Emergency
332,"ASSIST - OTHER AGENCY OR CALLER , OTHER AGENCY OR DEPARTMENT",Emergency
310,"# EMS - 1ST RESP CALL (FIRE RESP ONLY) , UNKNOWN PROBLEM/PERSON DOWN",Emergency
296,"ASSIST FIRE DEPARTMENT , TRAFFIC AND/OR CROWD CONTROL",Emergency
238,"# EMS - 1ST RESP CALL (FIRE RESP ONLY) , CHEST PAIN",Emergency
212,"# EMS - 1ST RESP CALL (FIRE RESP ONLY) , BREATHING PROBLEM",Emergency
164,"OVERDOSE/POISONING , JUST OCCURRED",Emergency
149,"# FIRE ALARM , GENERAL",Emergency
146,ASSIST - OTHER AGENCY OR CALLER,Emergency
118,"# EMS - 1ST RESP CALL (FIRE RESP ONLY) , ALTERED MENTAL STATUS",Emergency
112,"# FIRE ALARM , SMOKE DETECTOR",Emergency
91,"# EMS - 1ST RESP CALL (FIRE RESP ONLY) , MEDICAL ALARM",Emergency
82,"# EMS - 1ST RESP CALL (FIRE RESP ONLY) , SEIZURES",Emergency
75,"# ASSIST EMS , LIFTING ASSISTANCE",Emergency
72,"# EMS - 1ST RESP CALL (FIRE RESP ONLY) , HEART PROBLEM",Emergency
55,"# EMS - 1ST RESP CALL (FIRE RESP ONLY) , OVERDOSE - POISONING - INGESTION",Emergency
53,"MEDICAL ALARM - DEFIBRILLATOR , INVESTIGATE",Emergency
49,"# EMS - 1ST RESP CALL (FIRE RESP ONLY) , FALL",Emergency
44,"# STRUCTURE FIRE , APARTMENT FIRE",Emergency
41,"# FIRE ALARM , SPRINKLER/WATERFLOW",Emergency
39,"# BRUSH FIRE , GRASS",Emergency
39,"# EMS - 1ST RESP CALL (FIRE RESP ONLY) , CARDIAC/RESPIRATORY ARREST",Emergency
39,"# STRUCTURE FIRE , HOUSE FIRE",Emergency
38,"# EMS - 1ST RESP CALL (FIRE RESP ONLY) , STROKE",Emergency
36,"# EMS - 1ST RESP CALL (FIRE RESP ONLY) , SHOOTING",Emergency
36,"# UTILITY INCIDENT , GAS LEAK/ODOR (INSIDE)",Emergency
32,"# STRUCTURE FIRE , SMOKE/ODOR INSIDE STRUCTURE",Emergency
31,"# EMS - 1ST RESP CALL (FIRE RESP ONLY) , HEMORRHAGE",Emergency
31,"# EMS - 1ST RESP CALL (FIRE RESP ONLY) , PSYCHIATRIC PROBLEM",Emergency
28,"ASSIST FIRE DEPARTMENT , NON-EMERGENCY",Emergency
28,"WELFARE CHECK , EMS RESPONSE",Emergency
24,# ELEVATOR INCIDENT,Emergency
24,"# WATER RESCUE , RIVER/POND/LAKE",Emergency
20,"# STRUCTURE FIRE , BUILDING FIRE",Emergency
19,"# VEHICLE FIRE , CAR OR PICKUP",Emergency
18,"# FIRE ALARM , CARBON MONOXIDE",Emergency
16,"# UTILITY INCIDENT , GAS LEAK/ODOR (OUTSIDE)",Emergency
15,"# ASSIST EMS , OTHER (SEE REMARKS)",Emergency
14,"# FIRE ALARM , PULL STATION",Emergency
13,"WIRES DOWN (NO FIRE) , INVESTIGATE",Emergency
12,"# ASSIST EMS , FORCIBLE ENTRY",Emergency
11,"# CHEMICAL MATERIALS , SMELL OR ODOR (NO SPILL)",Emergency
10,"# EMS - 1ST RESP CALL (FIRE RESP ONLY) , PREGNANCY",Emergency
10,"# VEHICLE FIRE , LIMITED ACCESS HIGHWAY",Emergency
9,"# STRUCTURE FIRE , ELECTRICAL FIRE",Emergency
9,"FOUND PROPERTY , FIRE ARM",Emergency
8,"# BRUSH FIRE , MULCH",Emergency
8,"# EMS - 1ST RESP CALL (FIRE RESP ONLY) , BURN",Emergency
8,"# EMS - 1ST RESP CALL (FIRE RESP ONLY) , DIABETIC PROBLEM",Emergency
8,"# UTILITY INCIDENT , TRANSFORMER FIRE",Emergency
7,"# CHEMICAL MATERIALS , BIOHAZARD/BLOOD CLEAN UP",Emergency
7,"# CHEMICAL MATERIALS , FUEL SPILL (SMALL)",Emergency
7,"# EMS - 1ST RESP CALL (FIRE RESP ONLY) , ALLERGIC REACTION",Emergency
7,"# EMS - 1ST RESP CALL (FIRE RESP ONLY) , STABBING",Emergency
7,# SMOKE INVESTIGATION,Emergency
7,"# TRASH FIRE , DUMPSTER",Emergency
7,"# UTILITY INCIDENT , WIRES ARCING",Emergency
7,"LOCK-OUT , ANIMAL LOCKED IN VEHICLE",Emergency
6,"# BRUSH FIRE , PROXIMITY TO STRUCTURE",Emergency
6,"# EMS - 1ST RESP CALL (FIRE RESP ONLY) , ABDOMINAL PAIN",Emergency
6,"# EMS - 1ST RESP CALL (FIRE RESP ONLY) , ASSAULT",Emergency
6,"# EMS - 1ST RESP CALL (FIRE RESP ONLY) , TRAUMATIC INJURY",Emergency
6,"# LOCK-OUT , CHILD LOCKED IN VEHICLE",Emergency
6,"# TRASH FIRE , BURN VIOLATION",Emergency
5,"# EMS - 1ST RESP CALL (FIRE RESP ONLY) , CHOKING",Emergency
5,"# LOCK-OUT , HOUSE",Emergency
5,"# STRUCTURE FIRE , UNKNOWN FIRE",Emergency
4,"# TRASH FIRE , OTHER -  (SEE REMARKS)",Emergency
3,"# EMS - 1ST RESP CALL (FIRE RESP ONLY) , SICK PERSON",Emergency
3,"# FIRE ALARM , HEAT DETECTOR",Emergency
3,"# STRUCTURE FIRE , GARAGE FIRE",Emergency
3,"# UTILITY INCIDENT , WIRES DOWN (NO FIRE)",Emergency
3,"# VEHICLE FIRE , PROXIMITY TO STRUCTURE",Emergency
